Higher Seed,Lower Seed
Auburn,Alabama St.
Louisville,Creighton
Michigan,UC San Diego
Texas A&M,Yale
Ole Miss,North Carolina
Iowa St.,Lipscomb
Marquette,New Mexico
Michigan St.,Bryant
Florida,Norfolk St.
UConn,Oklahoma
Memphis,Colorado St.
Maryland,Grand Canyon
Missouri,Drake
Texas Tech,UNC Wilmington
Kansas,Arkansas
St. John's,Omaha
Duke,Mount St. Mary's
Mississippi St.,Baylor
Oregon,Liberty
Arizona,Akron
BYU,VCU
Wisconsin,Montana
Saint Mary's,Vanderbilt
Alabama,Robert Morris
Houston,SIUE
Gonzaga,Georgia
Clemson,McNeese
Purdue,High Point
Illinois,Xavier
Kentucky,Troy
UCLA,Utah St.
Tennessee,Wofford