Team Name,Team ID,Offensive Efficiency,Defensive Efficiency,Tempo,Strength of Schedule
Auburn,1,127.2,92.1,68.2,19.63
Alabama St.,2,101.5,110.4,68.1,-7.94
Louisville,3,118.1,96.3,69.1,10.57
Creighton,4,117.8,98.3,67.3,12.52
Michigan,5,116.5,93.1,70.1,16.57
UC San Diego,6,115,96.7,65.8,-1.44
Texas A&M,7,116.5,92.9,66.8,16.52
Yale,8,115.2,104.2,67.7,-1.85
Ole Miss,9,119.1,95.8,68.1,16.98
North Carolina,10,119.2,98.9,70.7,12.57
Iowa St.,11,119.8,93.2,68.8,12.83
Lipscomb,12,112,103.5,66.2,-4.15
Marquette,13,117.4,96.4,67.7,12.78
New Mexico,14,112.9,95.1,72.5,7.33
Michigan St.,15,118.8,90.4,67.5,14.72
Bryant,16,106.8,105.8,72.7,-6.41
Florida,17,128.2,91.8,70.1,16.15
Norfolk St.,18,107.5,109.1,66.5,-6.42
UConn,19,121.6,101.4,64,11.08
Oklahoma,20,118.2,100.3,68.8,14.9
Memphis,21,113.4,98.3,71,6.51
Colorado St.,22,116.8,99.2,66,6.55
Maryland,23,118.9,91.9,69.6,12.51
Grand Canyon,24,107.4,101.1,71.4,-3.03
Missouri,25,124.4,100.8,68.6,13.34
Drake,26,112.9,97.8,59.4,1.23
Texas Tech,27,125.4,97.5,66.1,12.19
UNC Wilmington,28,112.2,106.9,65.9,-4.06
Kansas,29,115.9,93,68.6,15.79
Arkansas,30,114.4,95.1,69.4,15.21
St. John's,31,114,88,70,9.16
Omaha,32,111,111.1,67.7,-1.91
Duke,33,130.1,90.8,66,11.51
Mount St. Mary's,34,100.9,107.3,67.8,-6.61
Mississippi St.,35,118.9,98.8,68.3,15.11
Baylor,36,121.3,100.4,64.6,16.72
Oregon,37,117.6,95.8,68.1,15.19
Liberty,38,111.8,99.4,65.6,1.06
Arizona,39,123.7,97.3,70.3,16.93
Akron,40,113.6,107.1,71.7,-3.34
BYU,41,124.1,101.8,67.6,12.66
VCU,42,116,96.5,66.3,1.32
Wisconsin,43,122.9,96.3,68,14.53
Montana,44,110.6,110.6,67.3,-1.74
Saint Mary's,45,114.7,92,61.7,6.61
Vanderbilt,46,117.8,101.6,69.5,13.38
Alabama,47,126.8,96.5,75.3,20.14
Robert Morris,48,107.5,104.6,68.1,-5.15
Houston,49,123.4,86.8,61.9,15.63
SIUE,50,101.8,106.3,66.2,-8.19
Gonzaga,51,124.7,96.7,70.5,8.09
Georgia,52,115.3,96.8,66.7,14.18
Clemson,53,118.2,95,64.6,8.32
McNeese,54,114.1,99.8,65.9,-0.61
Purdue,55,124.6,99.2,65.1,16.76
High Point,56,118.4,109.2,66.5,-4.82
Illinois,57,121.9,97.6,71.5,17.14
Xavier,58,116.2,99,69.2,10.29
Kentucky,59,123.7,99.2,70.9,18.23
Troy,60,107.4,100.4,66.5,-1.81
UCLA,61,117.3,93.8,65,14.09
Utah St.,62,119.8,105.8,67.6,6.11
Tennessee,63,120.7,89.7,63.7,16.8
Wofford,64,113.9,109.7,64.3,0.03